# Метеостанция Алматы, Казахстан, WMO_ID=36870, выборка с 01.01.2018 по 09.04.2018, все дни;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Кодировка: UTF-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Местное время в Алматы;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
14.01.2018 06:00;-5,4;693,4;771,6;0,6;90;Ветер, дующий с севера;1;;2;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Ливень (ливни).;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;;-6,8;;;;;;
14.01.2018 03:00;-4,6;692,8;770,6;0,7;91;Штиль, безветрие;0;;;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Ливень (ливни).;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;;-5,9;;;;;;
14.01.2018 00:00;-4,4;692,1;769,8;1,4;91;Ветер, дующий с юго-юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Туман или ледяной туман или сильная мгла.;;-2,1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-5,6;Следы осадков;12;;;;
13.01.2018 21:00;-3,5;690,7;767,9;0,9;74;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-2,1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-7,6;Следы осадков;12;;;;
13.01.2018 18:00;-2,6;689,8;766,8;1,1;71;Ветер, дующий с западо-юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10,0;-7,2;;;;;;
13.01.2018 15:00;-3,2;688,7;765,7;-0,5;78;Ветер, дующий с юго-юго-запада;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10,0;-6,5;;;;;;
13.01.2018 12:00;-3,1;689,2;766,2;-1,5;82;Ветер, дующий с запада;1;;;100%.; ;;;-7,2;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";10,0;-5,7;;;;;;
13.01.2018 09:00;-6,1;690,7;768,7;-0,1;92;Штиль, безветрие;0;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;300-600;;;1,0;-7,2;;;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;16
13.01.2018 06:00;-6,5;690,8;769,0;-4,7;94;Штиль, безветрие;0;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-7,3;;;;;;
13.01.2018 03:00;-5,5;695,5;773,9;2,7;90;Штиль, безветрие;0;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;-3,1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-6,9;Следы осадков;12;;;;
13.01.2018 00:00;-7,1;692,8;771,5;-2,7;93;Штиль, безветрие;0;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;-3,1;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-8,0;Следы осадков;12;;;;
12.01.2018 21:00;-5,5;695,5;773,9;-0,6;90;Штиль, безветрие;0;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;-3,1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-6,9;Следы осадков;12;;;;
12.01.2018 18:00;-4,7;696,1;774,4;0,3;91;Штиль, безветрие;0;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4,0;-6,0;;;;;;
12.01.2018 15:00;-4,6;695,8;774,0;-0,3;87;Штиль, безветрие;0;;;100%.;Дымка. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4,0;-6,5;;;;;;
12.01.2018 12:00;-5,0;696,1;774,4;-0,2;91;Ветер, дующий с северо-востока;1;;;100%.;Дымка. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-5,5;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;600-1000;;;4,0;-6,3;0,7;12;;;;
12.01.2018 09:00;-5,3;696,3;774,7;0,3;90;Ветер, дующий с юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4,0;-6,7;0,7;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;20
12.01.2018 06:00;-4,8;696,0;774,3;0,5;91;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-6,1;;;;;;
12.01.2018 03:00;-4,8;695,5;773,8;-1,1;91;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-6,1;;;;;;
12.01.2018 00:00;-4,1;696,6;774,7;-0,7;87;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;1,6;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-5,9;7;12;;;;
11.01.2018 21:00;-3,5;697,3;775,3;-0,3;90;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Ливень (ливни).;;1,6;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;;-4,9;7;12;;;;
11.01.2018 18:00;-3,5;697,6;775,6;0,6;92;Ветер, дующий с юго-запада;1;;;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Ливень (ливни).;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;1,0;-4,6;;;;;;
11.01.2018 15:00;-2,2;697,0;774,5;0,4;92;Штиль, безветрие;0;;;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Ливень (ливни).;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;0,2;-3,4;;;;;;
11.01.2018 12:00;-0,9;696,6;773,7;1,0;93;Ветер, дующий с юго-запада;1;;;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-4,5;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;0,5;-1,9;;;;;;
11.01.2018 09:00;1,5;695,6;771,9;2,5;76;Ветер, дующий с востоко-юго-востока;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;1000-1500;;;10,0;-2,4;;;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;6
11.01.2018 06:00;1,9;693,1;769,1;4,6;48;Ветер, дующий с юго-запада;1;;5;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-8,1;;;;;;
11.01.2018 03:00;-3,3;688,5;765,4;-1,0;72;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-7,7;;;;;;
11.01.2018 00:00;-3,1;689,5;766,5;-0,9;86;Штиль, безветрие;0;;;Облаков нет.; ;;;;5,1;;;;;;;-5,1;;;;;;
10.01.2018 21:00;-2,1;690,4;767,2;-0,3;80;Штиль, безветрие;0;;;Облаков нет.; ;;;;5,1;;;;;;;-5,1;;;;;;
10.01.2018 18:00;0,3;690,7;766,8;0,3;69;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;10,0;-4,8;;;;;;
10.01.2018 15:00;3,5;690,4;765,5;-1,3;47;Штиль, безветрие;0;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;10,0;-6,9;;;;;;
10.01.2018 12:00;2,1;691,7;767,5;-0,7;48;Штиль, безветрие;0;;;Облаков нет.; ;;;-6,5;;;;;;;10,0;-7,8;;;;;;
10.01.2018 09:00;-5,5;692,4;770,5;-0,4;81;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;10,0;-8,3;;;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;6
10.01.2018 06:00;-5,9;692,8;771,1;-0,6;85;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-8,1;;;;;;
10.01.2018 03:00;-4,9;693,4;771,4;-1,1;79;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-8,0;;;;;;
10.01.2018 00:00;-4,1;694,5;772,4;-1,6;85;Штиль, безветрие;0;;;Облаков нет.; ;;;;3,1;;;;;;;-6,3;;;;;;
09.01.2018 21:00;-2,6;696,1;773,7;-0,6;85;Штиль, безветрие;0;;;Облаков нет.; ;;;;3,1;;;;;;;-4,8;;;;;;
09.01.2018 18:00;0,3;696,7;773,5;-0,2;66;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;;;;;;;10,0;-5,3;;;;;;
09.01.2018 15:00;2,1;696,9;773,2;-1,0;62;Ветер, дующий с севера;2;;;Облаков нет.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;4,0;-4,5;;;;;;
09.01.2018 12:00;1,7;697,9;774,4;-0,4;58;Ветер, дующий с западо-северо-запада;1;;;Облаков нет.; ;;;-3,8;;;;;;;10,0;-5,8;;;;;;
09.01.2018 09:00;-3,1;698,3;776,4;0,8;78;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;-6,4;;;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;6
09.01.2018 06:00;-3,0;697,5;775,4;0,0;76;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-6,7;;;;;;
09.01.2018 03:00;-1,6;697,5;775,0;0,8;71;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-6,2;;;;;;
09.01.2018 00:00;-1,4;696,7;774,1;0,2;72;Штиль, безветрие;0;;;100%.; ;;;;6,6;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5,9;;;;;;
08.01.2018 21:00;0,1;696,5;773,4;0,6;70;Штиль, безветрие;0;;;100%.; ;;;;6,6;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-4,8;;;;;;
08.01.2018 18:00;0,0;695,9;772,8;1,0;66;Штиль, безветрие;0;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4,0;-5,6;;;;;;
08.01.2018 15:00;5,7;694,9;769,9;0,2;45;Штиль, безветрие;0;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4,0;-5,5;;;;;;
08.01.2018 12:00;-0,3;694,7;771,5;0,9;54;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;-8,6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;-8,5;;;;;;
08.01.2018 09:00;0,8;693,8;770,1;0,5;68;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20,0;-4,6;;;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;7
08.01.2018 06:00;-3,7;693,3;770,9;-0,2;73;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-7,9;;;;;;
08.01.2018 03:00;-5,7;693,5;771,7;0,1;75;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-9,4;;;;;;
08.01.2018 00:00;-7,4;693,4;772,2;-0,5;75;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;-3,7;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-11,1;;;;;;
07.01.2018 21:00;-8,6;693,9;773,2;0,2;78;Штиль, безветрие;0;;;60%.; ;;;;-3,7;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-11,8;;;;;;
07.01.2018 18:00;-7,3;693,7;772,5;0,6;62;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";10,0;-13,4;;;;;;
07.01.2018 15:00;-4,9;693,1;771,1;-0,2;57;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;-12,3;;;;;;
07.01.2018 12:00;-7,7;693,3;772,2;0,4;59;Штиль, безветрие;0;;;Облаков нет.; ;;;-15,0;;;;;;;10,0;-14,5;;;;;;
07.01.2018 09:00;-14,9;692,9;774,1;0,3;87;Штиль, безветрие;0;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;4,0;-16,6;;;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;7
07.01.2018 06:00;-14,9;692,6;773,8;0,1;87;Штиль, безветрие;0;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;-16,6;;;;;;
07.01.2018 03:00;-14,7;692,5;773,6;-0,1;88;Штиль, безветрие;0;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;-16,2;;;;;;
07.01.2018 00:00;-13,9;692,6;773,5;-0,1;86;Штиль, безветрие;0;;;Облаков нет.; ;;;;-7,2;;;;;;;-15,7;;;;;;
06.01.2018 21:00;-13,1;692,7;773,2;0,2;81;Штиль, безветрие;0;;;Облаков нет.; ;;;;-7,2;;;;;;;-15,7;;;;;;
06.01.2018 18:00;-11,3;692,5;772,5;0,6;73;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;10,0;-15,3;;;;;;
06.01.2018 15:00;-8,3;691,9;770,8;-0,3;60;Ветер, дующий с востоко-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;10,0;-14,8;;;;;;
06.01.2018 12:00;-10,6;692,2;772,0;-0,3;69;Штиль, безветрие;0;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;-16,2;;;;;;;4,0;-15,2;;;;;;
06.01.2018 09:00;-16,0;692,5;774,0;-0,1;87;Штиль, безветрие;0;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;10,0;-17,7;;;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;7
06.01.2018 06:00;-16,0;692,6;774,1;-0,2;88;Штиль, безветрие;0;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;-17,5;;;;;;
06.01.2018 03:00;-15,2;692,8;774,1;-0,4;88;Штиль, безветрие;0;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;-16,7;;;;;;
06.01.2018 00:00;-14,2;693,2;774,2;-0,7;88;Штиль, безветрие;0;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;-8,6;;;;;;;-15,8;;;;;;
05.01.2018 21:00;-13,4;693,9;774,7;-0,1;85;Штиль, безветрие;0;;;Облаков нет.; ;;;;-8,6;;;;;;;-15,4;;;;;;
05.01.2018 18:00;-12,1;694,0;774,4;0,6;75;Штиль, безветрие;0;;;Облаков нет.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;4,0;-15,6;;;;;;
05.01.2018 15:00;-9,1;693,4;772,8;-0,3;63;Штиль, безветрие;0;;;Облаков нет.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;4,0;-14,9;;;;;;
05.01.2018 12:00;-12,1;693,7;774,0;0,0;74;Штиль, безветрие;0;;;Облаков нет.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Снег или дождь со снегом.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-16,9;;;;;;;4,0;-15,8;Следы осадков;12;;;;
05.01.2018 09:00;-16,9;693,7;775,6;0,3;88;Штиль, безветрие;0;;;40%.;Дымка.  Высота свежевыпавшего снега составляет менее 0.1 см.;Снег или дождь со снегом.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;40%.;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4,0;-18,4;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;7
05.01.2018 06:00;-16,4;693,4;775,2;0,0;88;Штиль, безветрие;0;;;70 – 80%.;Отдельные кристаллы снега в виде звездочек (с туманом или без него). ;Снег или дождь со снегом.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;70 – 80%.;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-17,9;;;;;;
05.01.2018 03:00;-15,3;693,4;774,7;0,0;88;Штиль, безветрие;0;;;100%.;Отдельные кристаллы снега в виде звездочек (с туманом или без него). ;Снег или дождь со снегом.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;60%.;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-16,8;;;;;;
05.01.2018 00:00;-14,6;693,4;774,5;0,5;89;Штиль, безветрие;0;;;100%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-8,4;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-16,0;Следы осадков;12;;;;
